# step 26
# iter abs_residual rel_residual
0 7.2278104865846785e+01 1.0000000000000000e+00
1 1.1546600861375805e+03 1.5975240195917012e+01
2 1.1527745212176183e+03 1.5949152559509526e+01
3 1.1585072720810065e+03 1.6028467739037666e+01
4 1.2484330970659323e+03 1.7272631862486037e+01
5 1.4402468346337641e+03 1.9926460956702766e+01
6 1.2677694538266928e+03 1.7540159031282869e+01
7 1.4124522130191071e+03 1.9541909899833666e+01
8 1.3004236603875024e+03 1.7991944625570628e+01
9 1.3783981910459083e+03 1.9070757231450820e+01
10 1.3232324643110378e+03 1.8307514658374757e+01
11 1.3547601259463490e+03 1.8743713998324644e+01
12 1.3364428175025055e+03 1.8490285820070085e+01
13 1.3388396176542769e+03 1.8523446625215989e+01
14 1.3429152194666192e+03 1.8579834404335362e+01
15 1.3277325809228712e+03 1.8369775790154371e+01
16 1.3450051727483162e+03 1.8608749845402556e+01
17 1.3195692023751330e+03 1.8256831786394311e+01
18 1.3443069584342761e+03 1.8599089737195015e+01
19 1.3132163294683908e+03 1.8168936940250607e+01
20 1.3418458874585112e+03 1.8565039716371519e+01
21 1.3079856800730511e+03 1.8096568559742455e+01
22 1.3382737217499023e+03 1.8515617201555461e+01
23 1.3034526903332940e+03 1.8033852613493302e+01
24 1.3340055733944018e+03 1.8456565454647841e+01
25 1.2993510853098628e+03 1.7977105068285191e+01
26 1.3293075319959846e+03 1.8391565944669860e+01
27 1.2955114809372390e+03 1.7923982419597177e+01
28 1.3243513570110038e+03 1.8322995040740103e+01
29 1.2918249965146599e+03 1.7872978254097521e+01
30 1.3192485335185031e+03 1.8252395188931981e+01
31 1.2882212246121285e+03 1.7823118453412096e+01
32 1.3140716232918749e+03 1.8180770313926793e+01
33 1.2846546044795982e+03 1.7773772664128465e+01
34 1.3088677968908980e+03 1.8108773041576672e+01
35 1.2810958289411919e+03 1.7724535408323106e+01
36 1.3036675101279284e+03 1.8036824741706031e+01
37 1.2775263299640169e+03 1.7675149788932554e+01
38 1.2984901357285473e+03 1.7965193444662610e+01
39 1.2739346838604092e+03 1.7625457754114070e+01
40 1.2933476589196478e+03 1.7894044971436252e+01
41 1.2703142383673498e+03 1.7575367266825019e+01
42 1.2882471280003176e+03 1.7823476838406240e+01
43 1.2666615286045060e+03 1.7524830388891882e+01
44 1.2831922934623606e+03 1.7753540935308905e+01
45 1.2629752087383579e+03 1.7473828500104258e+01
46 1.2781847130474189e+03 1.7684258814198561e+01
47 1.2592553284033472e+03 1.7422362287176913e+01
48 1.2732245007403026e+03 1.7615632052106186e+01
49 1.2555028382770304e+03 1.7370444903160251e+01
50 1.2683108376848434e+03 1.7547649319789400e+01
51 1.2517192522220021e+03 1.7318097293022284e+01
52 1.2634423194678723e+03 1.7480291186562091e+01
53 1.2479064168614718e+03 1.7265345005623395e+01
54 1.2586171941774141e+03 1.7413533413936289e+01
55 1.2440663539078726e+03 1.7212216012261898e+01
56 1.2538335239648382e+03 1.7347349190906996e+01
57 1.2402011533663167e+03 1.7158739229095957e+01
58 1.2490892942233636e+03 1.7281710644485777e+01
59 1.2363129023441220e+03 1.7104943532191459e+01
60 1.2443824862342244e+03 1.7216589844793042e+01
61 1.2324036388421760e+03 1.7050857118204789e+01
62 1.2397111252398840e+03 1.7151959470172532e+01
63 1.2284753213131246e+03 1.6996507083206744e+01
64 1.2350733099334363e+03 1.7087793215190391e+01
65 1.2245298121531494e+03 1.6941919194283834e+01
66 1.2304672309091236e+03 1.7024066045906388e+01
67 1.2205688672022036e+03 1.6887117744269371e+01
68 1.2258911806664230e+03 1.6960754338284918e+01
69 1.2165941326630884e+03 1.6832125509117486e+01
70 1.2213435565430420e+03 1.6897835918774309e+01
71 1.2126071450119659e+03 1.6776963746665047e+01
72 1.2168228618963046e+03 1.6835290080651852e+01
73 1.2086093333581764e+03 1.6721652229280775e+01
74 1.2123277032823576e+03 1.6773097544996823e+01
75 1.2046020237652972e+03 1.6666209303649048e+01
76 1.2078567863321041e+03 1.6711240403632203e+01
77 1.2005864443550058e+03 1.6610651961384132e+01
78 1.2034089109084673e+03 1.6649702052123232e+01
79 1.1965637310951051e+03 1.6554995919110098e+01
80 1.1989829658843732e+03 1.6588467117528459e+01
81 1.1925349333528338e+03 1.6499255695293368e+01
82 1.1945779226414320e+03 1.6527521368451097e+01
83 1.1885010204032328e+03 1.6443444700288889e+01
84 1.1901928302471752e+03 1.6466851648313916e+01
