# step 2
# iter abs_residual rel_residual
0 7.2278104865846785e+01 1.0000000000000000e+00
1 1.1546600861375805e+03 1.5975240195917012e+01
2 1.1527745212176183e+03 1.5949152559509526e+01
3 1.1585072720810065e+03 1.6028467739037666e+01
4 1.2484330970659325e+03 1.7272631862486040e+01
5 1.4402468346337646e+03 1.9926460956702773e+01
6 1.2677694538267149e+03 1.7540159031283174e+01
7 1.4124522130191519e+03 1.9541909899834284e+01
8 1.3004236603875368e+03 1.7991944625571104e+01
9 1.3783981910459522e+03 1.9070757231451427e+01
10 1.3232324643111033e+03 1.8307514658375663e+01
11 1.3547601259464141e+03 1.8743713998325546e+01
12 1.3364428175025621e+03 1.8490285820070870e+01
13 1.3388396176543436e+03 1.8523446625216909e+01
14 1.3429152194666960e+03 1.8579834404336424e+01
15 1.3277325809229189e+03 1.8369775790155032e+01
16 1.3450051727483508e+03 1.8608749845403036e+01
17 1.3195692023751526e+03 1.8256831786394585e+01
18 1.3443069584343139e+03 1.8599089737195538e+01
19 1.3132163294684076e+03 1.8168936940250838e+01
20 1.3418458874585144e+03 1.8565039716371565e+01
21 1.3079856800730859e+03 1.8096568559742938e+01
22 1.3382737217499375e+03 1.8515617201555951e+01
23 1.3034526903333187e+03 1.8033852613493643e+01
24 1.3340055733944157e+03 1.8456565454648032e+01
25 1.2993510853098946e+03 1.7977105068285631e+01
26 1.3293075319960005e+03 1.8391565944670081e+01
27 1.2955114809372678e+03 1.7923982419597575e+01
28 1.3243513570110706e+03 1.8322995040741027e+01
29 1.2918249965147204e+03 1.7872978254098360e+01
30 1.3192485335185747e+03 1.8252395188932972e+01
31 1.2882212246122174e+03 1.7823118453413326e+01
32 1.3140716232919731e+03 1.8180770313928150e+01
33 1.2846546044796908e+03 1.7773772664129744e+01
34 1.3088677968909562e+03 1.8108773041577479e+01
35 1.2810958289412633e+03 1.7724535408324094e+01
36 1.3036675101280230e+03 1.8036824741707338e+01
37 1.2775263299641526e+03 1.7675149788934434e+01
38 1.2984901357287188e+03 1.7965193444664983e+01
39 1.2739346838605768e+03 1.7625457754116390e+01
40 1.2933476589198031e+03 1.7894044971438401e+01
41 1.2703142383675120e+03 1.7575367266827264e+01
42 1.2882471280004975e+03 1.7823476838408730e+01
43 1.2666615286046765e+03 1.7524830388894241e+01
44 1.2831922934625286e+03 1.7753540935311229e+01
45 1.2629752087385289e+03 1.7473828500106624e+01
46 1.2781847130475912e+03 1.7684258814200945e+01
47 1.2592553284035389e+03 1.7422362287179567e+01
48 1.2732245007405556e+03 1.7615632052109685e+01
49 1.2555028382772730e+03 1.7370444903163605e+01
50 1.2683108376850826e+03 1.7547649319792711e+01
51 1.2517192522222504e+03 1.7318097293025719e+01
52 1.2634423194681581e+03 1.7480291186566046e+01
53 1.2479064168617579e+03 1.7265345005627353e+01
54 1.2586171941777170e+03 1.7413533413940481e+01
55 1.2440663539081384e+03 1.7212216012265575e+01
56 1.2538335239650694e+03 1.7347349190910194e+01
57 1.2402011533665129e+03 1.7158739229098675e+01
58 1.2490892942235703e+03 1.7281710644488637e+01
59 1.2363129023443275e+03 1.7104943532194302e+01
60 1.2443824862344393e+03 1.7216589844796015e+01
61 1.2324036388423995e+03 1.7050857118207883e+01
62 1.2397111252401194e+03 1.7151959470175786e+01
63 1.2284753213133574e+03 1.6996507083209963e+01
64 1.2350733099336492e+03 1.7087793215193336e+01
65 1.2245298121533142e+03 1.6941919194286115e+01
66 1.2304672309092489e+03 1.7024066045908121e+01
67 1.2205688672023234e+03 1.6887117744271027e+01
68 1.2258911806665540e+03 1.6960754338286730e+01
69 1.2165941326631980e+03 1.6832125509119003e+01
70 1.2213435565431284e+03 1.6897835918775506e+01
71 1.2126071450120346e+03 1.6776963746665995e+01
72 1.2168228618963781e+03 1.6835290080652868e+01
73 1.2086093333582496e+03 1.6721652229281787e+01
74 1.2123277032824330e+03 1.6773097544997867e+01
75 1.2046020237653836e+03 1.6666209303650245e+01
76 1.2078567863321755e+03 1.6711240403633191e+01
77 1.2005864443551111e+03 1.6610651961385589e+01
78 1.2034089109085774e+03 1.6649702052124752e+01
79 1.1965637310952045e+03 1.6554995919111470e+01
80 1.1989829658844544e+03 1.6588467117529582e+01
81 1.1925349333529089e+03 1.6499255695294405e+01
82 1.1945779226415179e+03 1.6527521368452287e+01
83 1.1885010204033149e+03 1.6443444700290023e+01
84 1.1901928302472361e+03 1.6466851648314758e+01
