# step 20
# iter abs_residual rel_residual
0 7.2278104865846785e+01 1.0000000000000000e+00
1 1.1546600861375805e+03 1.5975240195917012e+01
2 1.1527745212176185e+03 1.5949152559509530e+01
3 1.1585072720810088e+03 1.6028467739037698e+01
4 1.2484330970659328e+03 1.7272631862486044e+01
5 1.4402468346337896e+03 1.9926460956703117e+01
6 1.2677694538267115e+03 1.7540159031283128e+01
7 1.4124522130191569e+03 1.9541909899834355e+01
8 1.3004236603875445e+03 1.7991944625571211e+01
9 1.3783981910459358e+03 1.9070757231451200e+01
10 1.3232324643110671e+03 1.8307514658375162e+01
11 1.3547601259463709e+03 1.8743713998324946e+01
12 1.3364428175025243e+03 1.8490285820070348e+01
13 1.3388396176543376e+03 1.8523446625216827e+01
14 1.3429152194666890e+03 1.8579834404336328e+01
15 1.3277325809229069e+03 1.8369775790154865e+01
16 1.3450051727483376e+03 1.8608749845402855e+01
17 1.3195692023751317e+03 1.8256831786394294e+01
18 1.3443069584342793e+03 1.8599089737195062e+01
19 1.3132163294683780e+03 1.8168936940250429e+01
20 1.3418458874585128e+03 1.8565039716371544e+01
21 1.3079856800730649e+03 1.8096568559742646e+01
22 1.3382737217499175e+03 1.8515617201555674e+01
23 1.3034526903333333e+03 1.8033852613493845e+01
24 1.3340055733944002e+03 1.8456565454647819e+01
25 1.2993510853098783e+03 1.7977105068285404e+01
26 1.3293075319959796e+03 1.8391565944669789e+01
27 1.2955114809372092e+03 1.7923982419596765e+01
28 1.3243513570110094e+03 1.8322995040740182e+01
29 1.2918249965146592e+03 1.7872978254097514e+01
30 1.3192485335185004e+03 1.8252395188931946e+01
31 1.2882212246121576e+03 1.7823118453412498e+01
32 1.3140716232919096e+03 1.8180770313927272e+01
33 1.2846546044796323e+03 1.7773772664128938e+01
34 1.3088677968909224e+03 1.8108773041577010e+01
35 1.2810958289412295e+03 1.7724535408323625e+01
36 1.3036675101279532e+03 1.8036824741706376e+01
37 1.2775263299640662e+03 1.7675149788933236e+01
38 1.2984901357286194e+03 1.7965193444663608e+01
39 1.2739346838604765e+03 1.7625457754115004e+01
40 1.2933476589197198e+03 1.7894044971437250e+01
41 1.2703142383674203e+03 1.7575367266825996e+01
42 1.2882471280003963e+03 1.7823476838407331e+01
43 1.2666615286045680e+03 1.7524830388892742e+01
44 1.2831922934624290e+03 1.7753540935309850e+01
45 1.2629752087384320e+03 1.7473828500105284e+01
46 1.2781847130475032e+03 1.7684258814199726e+01
47 1.2592553284034348e+03 1.7422362287178125e+01
48 1.2732245007404204e+03 1.7615632052107813e+01
49 1.2555028382771575e+03 1.7370444903162010e+01
50 1.2683108376849686e+03 1.7547649319791134e+01
51 1.2517192522221444e+03 1.7318097293024255e+01
52 1.2634423194680292e+03 1.7480291186564262e+01
53 1.2479064168615980e+03 1.7265345005625143e+01
54 1.2586171941775540e+03 1.7413533413938225e+01
55 1.2440663539080131e+03 1.7212216012263841e+01
56 1.2538335239649348e+03 1.7347349190908332e+01
57 1.2402011533664190e+03 1.7158739229097375e+01
58 1.2490892942234657e+03 1.7281710644487188e+01
59 1.2363129023442357e+03 1.7104943532193033e+01
60 1.2443824862343608e+03 1.7216589844794932e+01
61 1.2324036388423253e+03 1.7050857118206856e+01
62 1.2397111252400400e+03 1.7151959470174688e+01
63 1.2284753213132881e+03 1.6996507083209003e+01
64 1.2350733099335989e+03 1.7087793215192640e+01
65 1.2245298121532890e+03 1.6941919194285763e+01
66 1.2304672309092405e+03 1.7024066045908004e+01
67 1.2205688672023271e+03 1.6887117744271080e+01
68 1.2258911806665699e+03 1.6960754338286950e+01
69 1.2165941326632167e+03 1.6832125509119262e+01
70 1.2213435565431494e+03 1.6897835918775794e+01
71 1.2126071450120778e+03 1.6776963746666592e+01
72 1.2168228618964158e+03 1.6835290080653390e+01
73 1.2086093333582894e+03 1.6721652229282338e+01
74 1.2123277032824985e+03 1.6773097544998773e+01
75 1.2046020237654673e+03 1.6666209303651399e+01
76 1.2078567863322519e+03 1.6711240403634246e+01
77 1.2005864443551548e+03 1.6610651961386193e+01
78 1.2034089109086353e+03 1.6649702052125555e+01
79 1.1965637310952591e+03 1.6554995919112226e+01
80 1.1989829658845001e+03 1.6588467117530215e+01
81 1.1925349333529548e+03 1.6499255695295041e+01
82 1.1945779226415784e+03 1.6527521368453122e+01
83 1.1885010204033874e+03 1.6443444700291028e+01
84 1.1901928302473234e+03 1.6466851648315966e+01
