-0.999000 3.863381
-0.989010 3.000227
-0.979020 2.772599
-0.969030 2.635670
-0.959040 2.536466
-0.949050 2.457708
-0.939060 2.391602
-0.929070 2.333971
-0.919080 2.282328
-0.909090 2.235069
-0.899100 2.191109
-0.889110 2.149675
-0.879120 2.110202
-0.869130 2.072265
-0.859140 2.035536
-0.849150 1.999758
-0.839160 1.964726
-0.829170 1.930275
-0.819180 1.896271
-0.809190 1.862602
-0.799200 1.829178
-0.789210 1.795920
-0.779220 1.762766
-0.769230 1.729662
-0.759240 1.696561
-0.749250 1.663427
-0.739260 1.630227
-0.729270 1.596934
-0.719280 1.563526
-0.709290 1.529986
-0.699300 1.496297
-0.689310 1.462449
-0.679320 1.428432
-0.669330 1.394239
-0.659340 1.359865
-0.649350 1.325308
-0.639360 1.290567
-0.629370 1.255642
-0.619380 1.220536
-0.609390 1.185252
-0.599400 1.149793
-0.589410 1.114166
-0.579420 1.078378
-0.569430 1.042436
-0.559440 1.006349
-0.549450 0.970126
-0.539460 0.933777
-0.529470 0.897312
-0.519480 0.860745
-0.509490 0.824086
-0.499500 0.787348
-0.489510 0.750545
-0.479520 0.713689
-0.469530 0.676797
-0.459540 0.639881
-0.449550 0.602957
-0.439560 0.566041
-0.429570 0.529147
-0.419580 0.492294
-0.409590 0.455495
-0.399600 0.418768
-0.389610 0.382130
-0.379620 0.345598
-0.369630 0.309189
-0.359640 0.272919
-0.349650 0.236808
-0.339660 0.200871
-0.329670 0.165127
-0.319680 0.129593
-0.309690 0.094287
-0.299700 0.059227
-0.289710 0.024430
-0.279720 -0.010087
-0.269730 -0.044305
-0.259740 -0.078207
-0.249750 -0.111777
-0.239760 -0.144996
-0.229770 -0.177847
-0.219780 -0.210315
-0.209790 -0.242381
-0.199800 -0.274030
-0.189810 -0.305246
-0.179820 -0.336011
-0.169830 -0.366312
-0.159840 -0.396131
-0.149850 -0.425455
-0.139860 -0.454267
-0.129870 -0.482555
-0.119880 -0.510302
-0.109890 -0.537497
-0.099900 -0.564125
-0.089910 -0.590173
-0.079920 -0.615629
-0.069930 -0.640481
-0.059940 -0.664717
-0.049950 -0.688325
-0.039960 -0.711296
-0.029970 -0.733618
-0.019980 -0.755282
-0.009990 -0.776279
0.000000 -0.796600
0.009990 -0.816237
0.019980 -0.835181
0.029970 -0.853426
0.039960 -0.870966
0.049950 -0.887793
0.059940 -0.903904
0.069930 -0.919291
0.079920 -0.933953
0.089910 -0.947883
0.099900 -0.961081
0.109890 -0.973542
0.119880 -0.985264
0.129870 -0.996248
0.139860 -1.006490
0.149850 -1.015992
0.159840 -1.024754
0.169830 -1.032776
0.179820 -1.040060
0.189810 -1.046609
0.199800 -1.052425
0.209790 -1.057511
0.219780 -1.061872
0.229770 -1.065511
0.239760 -1.068434
0.249750 -1.070647
0.259740 -1.072155
0.269730 -1.072966
0.279720 -1.073087
0.289710 -1.072525
0.299700 -1.071290
0.309690 -1.069390
0.319680 -1.066834
0.329670 -1.063633
0.339660 -1.059798
0.349650 -1.055338
0.359640 -1.050267
0.369630 -1.044596
0.379620 -1.038337
0.389610 -1.031504
0.399600 -1.024110
0.409590 -1.016169
0.419580 -1.007695
0.429570 -0.998705
0.439560 -0.989212
0.449550 -0.979233
0.459540 -0.968784
0.469530 -0.957882
0.479520 -0.946544
0.489510 -0.934787
0.499500 -0.922631
0.509490 -0.910092
0.519480 -0.897191
0.529470 -0.883946
0.539460 -0.870377
0.549450 -0.856506
0.559440 -0.842352
0.569430 -0.827938
0.579420 -0.813285
0.589410 -0.798415
0.599400 -0.783352
0.609390 -0.768120
0.619380 -0.752743
0.629370 -0.737247
0.639360 -0.721657
0.649350 -0.706001
0.659340 -0.690306
0.669330 -0.674602
0.679320 -0.658919
0.689310 -0.643289
0.699300 -0.627747
0.709290 -0.612326
0.719280 -0.597065
0.729270 -0.582003
0.739260 -0.567184
0.749250 -0.552654
0.759240 -0.538462
0.769230 -0.524664
0.779220 -0.511319
0.789210 -0.498494
0.799200 -0.486264
0.809190 -0.474713
0.819180 -0.463936
0.829170 -0.454046
0.839160 -0.445170
0.849150 -0.437460
0.859140 -0.431099
0.869130 -0.426307
0.879120 -0.423356
0.889110 -0.422589
0.899100 -0.424445
0.909090 -0.429502
0.919080 -0.438544
0.929070 -0.452671
0.939060 -0.473495
0.949050 -0.503515
0.959040 -0.546917
0.969030 -0.611503
0.979020 -0.714562
0.989010 -0.909074
0.999000 -1.739873
