# step 8
# iter abs_residual rel_residual
0 7.2278104865845847e+01 1.0000000000000000e+00
1 1.1546600861375250e+03 1.5975240195916451e+01
2 1.1527745212176253e+03 1.5949152559509832e+01
3 1.1585072720811620e+03 1.6028467739040025e+01
4 1.2484330970662065e+03 1.7272631862490055e+01
5 1.4402468346342839e+03 1.9926460956710216e+01
6 1.2677694538270832e+03 1.7540159031288500e+01
7 1.4124522130195153e+03 1.9541909899839567e+01
8 1.3004236603878931e+03 1.7991944625576267e+01
9 1.3783981910462269e+03 1.9070757231455474e+01
10 1.3232324643114093e+03 1.8307514658380136e+01
11 1.3547601259469391e+03 1.8743713998333053e+01
12 1.3364428175032160e+03 1.8490285820080157e+01
13 1.3388396176550737e+03 1.8523446625227251e+01
14 1.3429152194673827e+03 1.8579834404346165e+01
15 1.3277325809237129e+03 1.8369775790166255e+01
16 1.3450051727491430e+03 1.8608749845414238e+01
17 1.3195692023758743e+03 1.8256831786404806e+01
18 1.3443069584350769e+03 1.8599089737206338e+01
19 1.3132163294693989e+03 1.8168936940264789e+01
20 1.3418458874595133e+03 1.8565039716385627e+01
21 1.3079856800739819e+03 1.8096568559755568e+01
22 1.3382737217509336e+03 1.8515617201569970e+01
23 1.3034526903342758e+03 1.8033852613507118e+01
24 1.3340055733954516e+03 1.8456565454662606e+01
25 1.2993510853108596e+03 1.7977105068299217e+01
26 1.3293075319970028e+03 1.8391565944684185e+01
27 1.2955114809383190e+03 1.7923982419612351e+01
28 1.3243513570122821e+03 1.8322995040758027e+01
29 1.2918249965159184e+03 1.7872978254115168e+01
30 1.3192485335198330e+03 1.8252395188950619e+01
31 1.2882212246135794e+03 1.7823118453432400e+01
32 1.3140716232933564e+03 1.8180770313947527e+01
33 1.2846546044810113e+03 1.7773772664148247e+01
34 1.3088677968924062e+03 1.8108773041597775e+01
35 1.2810958289427426e+03 1.7724535408344792e+01
36 1.3036675101294732e+03 1.8036824741727639e+01
37 1.2775263299655135e+03 1.7675149788953490e+01
38 1.2984901357299668e+03 1.7965193444682480e+01
39 1.2739346838617478e+03 1.7625457754132821e+01
40 1.2933476589209429e+03 1.7894044971454402e+01
41 1.2703142383684965e+03 1.7575367266841113e+01
42 1.2882471280013224e+03 1.7823476838420373e+01
43 1.2666615286055230e+03 1.7524830388906182e+01
44 1.2831922934634117e+03 1.7753540935323677e+01
45 1.2629752087395607e+03 1.7473828500121126e+01
46 1.2781847130486140e+03 1.7684258814215326e+01
47 1.2592553284046185e+03 1.7422362287194730e+01
48 1.2732245007414317e+03 1.7615632052122034e+01
49 1.2555028382780729e+03 1.7370444903174899e+01
50 1.2683108376857117e+03 1.7547649319801643e+01
51 1.2517192522229898e+03 1.7318097293036175e+01
52 1.2634423194688941e+03 1.7480291186576459e+01
53 1.2479064168624448e+03 1.7265345005637080e+01
54 1.2586171941784635e+03 1.7413533413951033e+01
55 1.2440663539088387e+03 1.7212216012275487e+01
56 1.2538335239658895e+03 1.7347349190921765e+01
57 1.2402011533673478e+03 1.7158739229110449e+01
58 1.2490892942246123e+03 1.7281710644503278e+01
59 1.2363129023454712e+03 1.7104943532210349e+01
60 1.2443824862355402e+03 1.7216589844811473e+01
61 1.2324036388435086e+03 1.7050857118223448e+01
62 1.2397111252411603e+03 1.7151959470190409e+01
63 1.2284753213142340e+03 1.6996507083222312e+01
64 1.2350733099346137e+03 1.7087793215206904e+01
65 1.2245298121542412e+03 1.6941919194299160e+01
66 1.2304672309103014e+03 1.7024066045922904e+01
67 1.2205688672033746e+03 1.6887117744285792e+01
68 1.2258911806675549e+03 1.6960754338300795e+01
69 1.2165941326640977e+03 1.6832125509131668e+01
70 1.2213435565442553e+03 1.6897835918791316e+01
71 1.2126071450133541e+03 1.6776963746684469e+01
72 1.2168228618977364e+03 1.6835290080671879e+01
73 1.2086093333595718e+03 1.6721652229300297e+01
74 1.2123277032837384e+03 1.6773097545016142e+01
75 1.2046020237666837e+03 1.6666209303668445e+01
76 1.2078567863334129e+03 1.6711240403650528e+01
77 1.2005864443563967e+03 1.6610651961403590e+01
78 1.2034089109100519e+03 1.6649702052145368e+01
79 1.1965637310966586e+03 1.6554995919131805e+01
