# step 26
# iter abs_residual rel_residual
0 7.2278104865845847e+01 1.0000000000000000e+00
1 1.1546600861375250e+03 1.5975240195916451e+01
2 1.1527745212176249e+03 1.5949152559509825e+01
3 1.1585072720811647e+03 1.6028467739040064e+01
4 1.2484330970662088e+03 1.7272631862490087e+01
5 1.4402468346342741e+03 1.9926460956710081e+01
6 1.2677694538270775e+03 1.7540159031288422e+01
7 1.4124522130195296e+03 1.9541909899839766e+01
8 1.3004236603879108e+03 1.7991944625576512e+01
9 1.3783981910462503e+03 1.9070757231455801e+01
10 1.3232324643114457e+03 1.8307514658380637e+01
11 1.3547601259469848e+03 1.8743713998333686e+01
12 1.3364428175032581e+03 1.8490285820080739e+01
13 1.3388396176551098e+03 1.8523446625227752e+01
14 1.3429152194674380e+03 1.8579834404346929e+01
15 1.3277325809237743e+03 1.8369775790167104e+01
16 1.3450051727491859e+03 1.8608749845414831e+01
17 1.3195692023759298e+03 1.8256831786405574e+01
18 1.3443069584351406e+03 1.8599089737207219e+01
19 1.3132163294694537e+03 1.8168936940265549e+01
20 1.3418458874595619e+03 1.8565039716386298e+01
21 1.3079856800740251e+03 1.8096568559756165e+01
22 1.3382737217509789e+03 1.8515617201570599e+01
23 1.3034526903343058e+03 1.8033852613507534e+01
24 1.3340055733954853e+03 1.8456565454663071e+01
25 1.2993510853108912e+03 1.7977105068299654e+01
26 1.3293075319970328e+03 1.8391565944684601e+01
27 1.2955114809383444e+03 1.7923982419612706e+01
28 1.3243513570123157e+03 1.8322995040758492e+01
29 1.2918249965159405e+03 1.7872978254115470e+01
30 1.3192485335198623e+03 1.8252395188951024e+01
31 1.2882212246136171e+03 1.7823118453432922e+01
32 1.3140716232933873e+03 1.8180770313947953e+01
33 1.2846546044810395e+03 1.7773772664148638e+01
34 1.3088677968924508e+03 1.8108773041598390e+01
35 1.2810958289427754e+03 1.7724535408345243e+01
36 1.3036675101295029e+03 1.8036824741728051e+01
37 1.2775263299655396e+03 1.7675149788953853e+01
38 1.2984901357300062e+03 1.7965193444683027e+01
39 1.2739346838617851e+03 1.7625457754133336e+01
40 1.2933476589209865e+03 1.7894044971455006e+01
41 1.2703142383685256e+03 1.7575367266841514e+01
42 1.2882471280013701e+03 1.7823476838421033e+01
43 1.2666615286055760e+03 1.7524830388906913e+01
44 1.2831922934634531e+03 1.7753540935324249e+01
45 1.2629752087395996e+03 1.7473828500121666e+01
46 1.2781847130486481e+03 1.7684258814215795e+01
47 1.2592553284046519e+03 1.7422362287195192e+01
48 1.2732245007414740e+03 1.7615632052122621e+01
49 1.2555028382781090e+03 1.7370444903175400e+01
50 1.2683108376857494e+03 1.7547649319802165e+01
51 1.2517192522230084e+03 1.7318097293036434e+01
52 1.2634423194688873e+03 1.7480291186576363e+01
53 1.2479064168624429e+03 1.7265345005637055e+01
54 1.2586171941784708e+03 1.7413533413951136e+01
55 1.2440663539088500e+03 1.7212216012275643e+01
56 1.2538335239658938e+03 1.7347349190921825e+01
57 1.2402011533673444e+03 1.7158739229110399e+01
58 1.2490892942245978e+03 1.7281710644503075e+01
59 1.2363129023454676e+03 1.7104943532210299e+01
60 1.2443824862355427e+03 1.7216589844811505e+01
61 1.2324036388435200e+03 1.7050857118223608e+01
62 1.2397111252411776e+03 1.7151959470190651e+01
63 1.2284753213142503e+03 1.6996507083222539e+01
64 1.2350733099346157e+03 1.7087793215206933e+01
65 1.2245298121542426e+03 1.6941919194299178e+01
66 1.2304672309103007e+03 1.7024066045922897e+01
67 1.2205688672033787e+03 1.6887117744285849e+01
68 1.2258911806675485e+03 1.6960754338300710e+01
69 1.2165941326640898e+03 1.6832125509131558e+01
70 1.2213435565442373e+03 1.6897835918791067e+01
71 1.2126071450133504e+03 1.6776963746684419e+01
72 1.2168228618977244e+03 1.6835290080671712e+01
73 1.2086093333595536e+03 1.6721652229300044e+01
74 1.2123277032837163e+03 1.6773097545015840e+01
75 1.2046020237666667e+03 1.6666209303668211e+01
76 1.2078567863333924e+03 1.6711240403650244e+01
77 1.2005864443563748e+03 1.6610651961403288e+01
78 1.2034089109100314e+03 1.6649702052145088e+01
79 1.1965637310966331e+03 1.6554995919131450e+01
