# step 19
# iter abs_residual rel_residual
0 7.2278104865856122e+01 1.0000000000000000e+00
1 1.1546600861378695e+03 1.5975240195918946e+01
2 1.1527745212178302e+03 1.5949152559510399e+01
3 1.1585072720811820e+03 1.6028467739038025e+01
4 1.2484330970660308e+03 1.7272631862485170e+01
5 1.4402468346335759e+03 1.9926460956697586e+01
6 1.2677694538265698e+03 1.7540159031278900e+01
7 1.4124522130187454e+03 1.9541909899826138e+01
8 1.3004236603872214e+03 1.7991944625564418e+01
9 1.3783981910459288e+03 1.9070757231448642e+01
10 1.3232324643110387e+03 1.8307514658372405e+01
11 1.3547601259457106e+03 1.8743713998313389e+01
12 1.3364428175015737e+03 1.8490285820054805e+01
13 1.3388396176532028e+03 1.8523446625198734e+01
14 1.3429152194656574e+03 1.8579834404319655e+01
15 1.3277325809218160e+03 1.8369775790137400e+01
16 1.3450051727472671e+03 1.8608749845385638e+01
17 1.3195692023742251e+03 1.8256831786379394e+01
18 1.3443069584333311e+03 1.8599089737179540e+01
19 1.3132163294673437e+03 1.8168936940233774e+01
20 1.3418458874575238e+03 1.8565039716355461e+01
21 1.3079856800723257e+03 1.8096568559730080e+01
22 1.3382737217491422e+03 1.8515617201542554e+01
23 1.3034526903325309e+03 1.8033852613480416e+01
24 1.3340055733934394e+03 1.8456565454632141e+01
25 1.2993510853090272e+03 1.7977105068271310e+01
26 1.3293075319950378e+03 1.8391565944654385e+01
27 1.2955114809360898e+03 1.7923982419578962e+01
28 1.3243513570097405e+03 1.8322995040720258e+01
29 1.2918249965133680e+03 1.7872978254077339e+01
30 1.3192485335172776e+03 1.8252395188912669e+01
31 1.2882212246107138e+03 1.7823118453390222e+01
32 1.3140716232904513e+03 1.8180770313904748e+01
33 1.2846546044782876e+03 1.7773772664108037e+01
34 1.3088677968894779e+03 1.8108773041554684e+01
35 1.2810958289396783e+03 1.7724535408299875e+01
36 1.3036675101264304e+03 1.8036824741682977e+01
37 1.2775263299626811e+03 1.7675149788911789e+01
38 1.2984901357273700e+03 1.7965193444644001e+01
39 1.2739346838592803e+03 1.7625457754096175e+01
40 1.2933476589185955e+03 1.7894044971419383e+01
41 1.2703142383666986e+03 1.7575367266813739e+01
42 1.2882471279999459e+03 1.7823476838398797e+01
43 1.2666615286040794e+03 1.7524830388883718e+01
44 1.2831922934618508e+03 1.7753540935299558e+01
45 1.2629752087375239e+03 1.7473828500090463e+01
46 1.2781847130465208e+03 1.7684258814183849e+01
47 1.2592553284022717e+03 1.7422362287159782e+01
48 1.2732245007394904e+03 1.7615632052092671e+01
49 1.2555028382763453e+03 1.7370444903148528e+01
50 1.2683108376845621e+03 1.7547649319783243e+01
51 1.2517192522213470e+03 1.7318097293010986e+01
52 1.2634423194672261e+03 1.7480291186550893e+01
53 1.2479064168608706e+03 1.7265345005612847e+01
54 1.2586171941768093e+03 1.7413533413925673e+01
55 1.2440663539073860e+03 1.7212216012252942e+01
56 1.2538335239641017e+03 1.7347349190894565e+01
57 1.2402011533655077e+03 1.7158739229082549e+01
58 1.2490892942220430e+03 1.7281710644465274e+01
59 1.2363129023425533e+03 1.7104943532167546e+01
60 1.2443824862327294e+03 1.7216589844770137e+01
61 1.2324036388406801e+03 1.7050857118181892e+01
62 1.2397111252385887e+03 1.7151959470152395e+01
63 1.2284753213122085e+03 1.6996507083191872e+01
64 1.2350733099324284e+03 1.7087793215174241e+01
65 1.2245298121522962e+03 1.6941919194269840e+01
66 1.2304672309080045e+03 1.7024066045888706e+01
67 1.2205688672010879e+03 1.6887117744251753e+01
68 1.2258911806652916e+03 1.6960754338267073e+01
69 1.2165941326620466e+03 1.6832125509100898e+01
70 1.2213435565415843e+03 1.6897835918751959e+01
71 1.2126071450101754e+03 1.6776963746638106e+01
72 1.2168228618943474e+03 1.6835290080622595e+01
73 1.2086093333563108e+03 1.6721652229252800e+01
74 1.2123277032805429e+03 1.6773097544969549e+01
75 1.2046020237635792e+03 1.6666209303623123e+01
76 1.2078567863305007e+03 1.6711240403607860e+01
77 1.2005864443533653e+03 1.6610651961359288e+01
78 1.2034089109064892e+03 1.6649702052093712e+01
79 1.1965637310932673e+03 1.6554995919082529e+01
80 1.1989829658825861e+03 1.6588467117501590e+01
81 1.1925349333510176e+03 1.6499255695266108e+01
82 1.1945779226394416e+03 1.6527521368421425e+01
83 1.1885010204011378e+03 1.6443444700257778e+01
84 1.1901928302453116e+03 1.6466851648286006e+01
85 1.1844628864375709e+03 1.6387575305631820e+01
86 1.1858268092535161e+03 1.6406445789556052e+01
87 1.1804213570132533e+03 1.6331658933283396e+01
88 1.1814790463262791e+03 1.6346292539338631e+01
89 1.1763771933484529e+03 1.6275706115036350e+01
90 1.1771487897145694e+03 1.6286381496848705e+01
91 1.1723310979321079e+03 1.6219726570140224e+01
92 1.1728353439137006e+03 1.6226703039466980e+01
93 1.1682837191197536e+03 1.6163729268884666e+01
94 1.1685380650351528e+03 1.6167248258706980e+01
95 1.1642356550287468e+03 1.6107722486491575e+01
96 1.1642563576284790e+03 1.6108008916244689e+01
97 1.1601874578317481e+03 1.6051713862517389e+01
98 1.1599896696474550e+03 1.6048977374272983e+01
99 1.1561396376420814e+03 1.5995710454608737e+01
100 1.1557374897020832e+03 1.5990146557481875e+01
101 1.1520926651016418e+03 1.5939718774307345e+01
102 1.1514993435953704e+03 1.5931509905143265e+01
103 1.1480469756754690e+03 1.5883744846467351e+01
