# step 16
# iter abs_residual rel_residual
0 7.2278104865856122e+01 1.0000000000000000e+00
1 1.1546600861378695e+03 1.5975240195918946e+01
2 1.1527745212178302e+03 1.5949152559510399e+01
3 1.1585072720811820e+03 1.6028467739038025e+01
4 1.2484330970660308e+03 1.7272631862485170e+01
5 1.4402468346335763e+03 1.9926460956697593e+01
6 1.2677694538265448e+03 1.7540159031278556e+01
7 1.4124522130187422e+03 1.9541909899826091e+01
8 1.3004236603872102e+03 1.7991944625564262e+01
9 1.3783981910458947e+03 1.9070757231448169e+01
10 1.3232324643109546e+03 1.8307514658371240e+01
11 1.3547601259456653e+03 1.8743713998312764e+01
12 1.3364428175014914e+03 1.8490285820053668e+01
13 1.3388396176531051e+03 1.8523446625197383e+01
14 1.3429152194655760e+03 1.8579834404318529e+01
15 1.3277325809217928e+03 1.8369775790137080e+01
16 1.3450051727472357e+03 1.8608749845385205e+01
17 1.3195692023741844e+03 1.8256831786378829e+01
18 1.3443069584332611e+03 1.8599089737178570e+01
19 1.3132163294672678e+03 1.8168936940232722e+01
20 1.3418458874574849e+03 1.8565039716354921e+01
21 1.3079856800722903e+03 1.8096568559729590e+01
22 1.3382737217490524e+03 1.8515617201541311e+01
23 1.3034526903324490e+03 1.8033852613479283e+01
24 1.3340055733933946e+03 1.8456565454631523e+01
25 1.2993510853089770e+03 1.7977105068270614e+01
26 1.3293075319949578e+03 1.8391565944653276e+01
27 1.2955114809359982e+03 1.7923982419577694e+01
28 1.3243513570096329e+03 1.8322995040718769e+01
29 1.2918249965133120e+03 1.7872978254076564e+01
30 1.3192485335172107e+03 1.8252395188911741e+01
31 1.2882212246106114e+03 1.7823118453388805e+01
32 1.3140716232902760e+03 1.8180770313902322e+01
33 1.2846546044781128e+03 1.7773772664105618e+01
34 1.3088677968893351e+03 1.8108773041552709e+01
35 1.2810958289395965e+03 1.7724535408298742e+01
36 1.3036675101263261e+03 1.8036824741681531e+01
37 1.2775263299626115e+03 1.7675149788910829e+01
38 1.2984901357273181e+03 1.7965193444643283e+01
39 1.2739346838592189e+03 1.7625457754095326e+01
40 1.2933476589185734e+03 1.7894044971419078e+01
41 1.2703142383666200e+03 1.7575367266812652e+01
42 1.2882471279998156e+03 1.7823476838396992e+01
43 1.2666615286038505e+03 1.7524830388880549e+01
44 1.2831922934616596e+03 1.7753540935296911e+01
45 1.2629752087373379e+03 1.7473828500087890e+01
46 1.2781847130463959e+03 1.7684258814182122e+01
47 1.2592553284021285e+03 1.7422362287157803e+01
48 1.2732245007393306e+03 1.7615632052090461e+01
49 1.2555028382761830e+03 1.7370444903146282e+01
50 1.2683108376843406e+03 1.7547649319780181e+01
51 1.2517192522211431e+03 1.7318097293008162e+01
52 1.2634423194670062e+03 1.7480291186547852e+01
53 1.2479064168606467e+03 1.7265345005609749e+01
54 1.2586171941765422e+03 1.7413533413921975e+01
55 1.2440663539070501e+03 1.7212216012248295e+01
56 1.2538335239637543e+03 1.7347349190889759e+01
57 1.2402011533651848e+03 1.7158739229078083e+01
58 1.2490892942218416e+03 1.7281710644462486e+01
59 1.2363129023423771e+03 1.7104943532165109e+01
60 1.2443824862325687e+03 1.7216589844767913e+01
61 1.2324036388404654e+03 1.7050857118178921e+01
62 1.2397111252383709e+03 1.7151959470149379e+01
63 1.2284753213120025e+03 1.6996507083189023e+01
64 1.2350733099321017e+03 1.7087793215169718e+01
65 1.2245298121519663e+03 1.6941919194265278e+01
66 1.2304672309076784e+03 1.7024066045884194e+01
67 1.2205688672007757e+03 1.6887117744247433e+01
68 1.2258911806648987e+03 1.6960754338261637e+01
69 1.2165941326616060e+03 1.6832125509094801e+01
70 1.2213435565411714e+03 1.6897835918746246e+01
71 1.2126071450098298e+03 1.6776963746633324e+01
72 1.2168228618940509e+03 1.6835290080618496e+01
73 1.2086093333559945e+03 1.6721652229248427e+01
74 1.2123277032802707e+03 1.6773097544965783e+01
75 1.2046020237632220e+03 1.6666209303618182e+01
76 1.2078567863301762e+03 1.6711240403603369e+01
77 1.2005864443529449e+03 1.6610651961353472e+01
78 1.2034089109059796e+03 1.6649702052086663e+01
79 1.1965637310926168e+03 1.6554995919073530e+01
80 1.1989829658819058e+03 1.6588467117492179e+01
81 1.1925349333502904e+03 1.6499255695256046e+01
82 1.1945779226385985e+03 1.6527521368409758e+01
83 1.1885010204002110e+03 1.6443444700244957e+01
84 1.1901928302443878e+03 1.6466851648273224e+01
85 1.1844628864365793e+03 1.6387575305618100e+01
86 1.1858268092526291e+03 1.6406445789543781e+01
87 1.1804213570123977e+03 1.6331658933271559e+01
88 1.1814790463253494e+03 1.6346292539325766e+01
89 1.1763771933475969e+03 1.6275706115024505e+01
90 1.1771487897136788e+03 1.6286381496836380e+01
91 1.1723310979312118e+03 1.6219726570127825e+01
92 1.1728353439127513e+03 1.6226703039453845e+01
93 1.1682837191187677e+03 1.6163729268871023e+01
94 1.1685380650340678e+03 1.6167248258691966e+01
95 1.1642356550276040e+03 1.6107722486475765e+01
96 1.1642563576274006e+03 1.6108008916229767e+01
97 1.1601874578307056e+03 1.6051713862502965e+01
98 1.1599896696463520e+03 1.6048977374257724e+01
99 1.1561396376410405e+03 1.5995710454594336e+01
100 1.1557374897010434e+03 1.5990146557467488e+01
101 1.1520926651007092e+03 1.5939718774294441e+01
102 1.1514993435944036e+03 1.5931509905129889e+01
103 1.1480469756745138e+03 1.5883744846454135e+01
