# step 17
# iter abs_residual rel_residual
0 7.2278104865856122e+01 1.0000000000000000e+00
1 1.1546600861378695e+03 1.5975240195918946e+01
2 1.1527745212178302e+03 1.5949152559510399e+01
3 1.1585072720811820e+03 1.6028467739038025e+01
4 1.2484330970660308e+03 1.7272631862485170e+01
5 1.4402468346335763e+03 1.9926460956697593e+01
6 1.2677694538265448e+03 1.7540159031278556e+01
7 1.4124522130187422e+03 1.9541909899826091e+01
8 1.3004236603872100e+03 1.7991944625564258e+01
9 1.3783981910458972e+03 1.9070757231448201e+01
10 1.3232324643109730e+03 1.8307514658371495e+01
11 1.3547601259456990e+03 1.8743713998313229e+01
12 1.3364428175015396e+03 1.8490285820054332e+01
13 1.3388396176532067e+03 1.8523446625198787e+01
14 1.3429152194656738e+03 1.8579834404319882e+01
15 1.3277325809218378e+03 1.8369775790137702e+01
16 1.3450051727472739e+03 1.8608749845385734e+01
17 1.3195692023742208e+03 1.8256831786379333e+01
18 1.3443069584333184e+03 1.8599089737179362e+01
19 1.3132163294672628e+03 1.8168936940232655e+01
20 1.3418458874574869e+03 1.8565039716354949e+01
21 1.3079856800722387e+03 1.8096568559728876e+01
22 1.3382737217490235e+03 1.8515617201540913e+01
23 1.3034526903324679e+03 1.8033852613479542e+01
24 1.3340055733933737e+03 1.8456565454631232e+01
25 1.2993510853089872e+03 1.7977105068270756e+01
26 1.3293075319949824e+03 1.8391565944653617e+01
27 1.2955114809359529e+03 1.7923982419577069e+01
28 1.3243513570095793e+03 1.8322995040718027e+01
29 1.2918249965132511e+03 1.7872978254075722e+01
30 1.3192485335171129e+03 1.8252395188910391e+01
31 1.2882212246105798e+03 1.7823118453388368e+01
32 1.3140716232902810e+03 1.8180770313902393e+01
33 1.2846546044780937e+03 1.7773772664105355e+01
34 1.3088677968893455e+03 1.8108773041552855e+01
35 1.2810958289395767e+03 1.7724535408298468e+01
36 1.3036675101262713e+03 1.8036824741680775e+01
37 1.2775263299625851e+03 1.7675149788910463e+01
38 1.2984901357272474e+03 1.7965193444642303e+01
39 1.2739346838591664e+03 1.7625457754094601e+01
40 1.2933476589184504e+03 1.7894044971417376e+01
41 1.2703142383665268e+03 1.7575367266811362e+01
42 1.2882471279998538e+03 1.7823476838397522e+01
43 1.2666615286039362e+03 1.7524830388881735e+01
44 1.2831922934617771e+03 1.7753540935298538e+01
45 1.2629752087374127e+03 1.7473828500088924e+01
46 1.2781847130464732e+03 1.7684258814183192e+01
47 1.2592553284022204e+03 1.7422362287159071e+01
48 1.2732245007394531e+03 1.7615632052092156e+01
49 1.2555028382763587e+03 1.7370444903148712e+01
50 1.2683108376845655e+03 1.7547649319783289e+01
51 1.2517192522213629e+03 1.7318097293011206e+01
52 1.2634423194672711e+03 1.7480291186551518e+01
53 1.2479064168609884e+03 1.7265345005614478e+01
54 1.2586171941768803e+03 1.7413533413926654e+01
55 1.2440663539074098e+03 1.7212216012253272e+01
56 1.2538335239641401e+03 1.7347349190895095e+01
57 1.2402011533655193e+03 1.7158739229082709e+01
58 1.2490892942220601e+03 1.7281710644465509e+01
59 1.2363129023425665e+03 1.7104943532167727e+01
60 1.2443824862327735e+03 1.7216589844770745e+01
61 1.2324036388406646e+03 1.7050857118181678e+01
62 1.2397111252384971e+03 1.7151959470151127e+01
63 1.2284753213121683e+03 1.6996507083191315e+01
64 1.2350733099324179e+03 1.7087793215174095e+01
65 1.2245298121523101e+03 1.6941919194270032e+01
66 1.2304672309080547e+03 1.7024066045889402e+01
67 1.2205688672011504e+03 1.6887117744252617e+01
68 1.2258911806654455e+03 1.6960754338269201e+01
69 1.2165941326622069e+03 1.6832125509103115e+01
70 1.2213435565418238e+03 1.6897835918755273e+01
71 1.2126071450104484e+03 1.6776963746641883e+01
72 1.2168228618945786e+03 1.6835290080625796e+01
73 1.2086093333565259e+03 1.6721652229255778e+01
74 1.2123277032807734e+03 1.6773097544972739e+01
75 1.2046020237637340e+03 1.6666209303625266e+01
76 1.2078567863306380e+03 1.6711240403609761e+01
77 1.2005864443534940e+03 1.6610651961361068e+01
78 1.2034089109066222e+03 1.6649702052095552e+01
79 1.1965637310933278e+03 1.6554995919083368e+01
80 1.1989829658826593e+03 1.6588467117502606e+01
81 1.1925349333511169e+03 1.6499255695267482e+01
82 1.1945779226395300e+03 1.6527521368422647e+01
83 1.1885010204011392e+03 1.6443444700257796e+01
84 1.1901928302453348e+03 1.6466851648286326e+01
85 1.1844628864375341e+03 1.6387575305631312e+01
86 1.1858268092534668e+03 1.6406445789555370e+01
87 1.1804213570132788e+03 1.6331658933283748e+01
88 1.1814790463262750e+03 1.6346292539338574e+01
89 1.1763771933484470e+03 1.6275706115036268e+01
90 1.1771487897145266e+03 1.6286381496848112e+01
91 1.1723310979320052e+03 1.6219726570138803e+01
92 1.1728353439135878e+03 1.6226703039465420e+01
93 1.1682837191196559e+03 1.6163729268883312e+01
94 1.1685380650350285e+03 1.6167248258705257e+01
95 1.1642356550286522e+03 1.6107722486490267e+01
96 1.1642563576284126e+03 1.6108008916243769e+01
97 1.1601874578317861e+03 1.6051713862517914e+01
98 1.1599896696474316e+03 1.6048977374272660e+01
99 1.1561396376419843e+03 1.5995710454607394e+01
100 1.1557374897019870e+03 1.5990146557480543e+01
101 1.1520926651016077e+03 1.5939718774306872e+01
102 1.1514993435953368e+03 1.5931509905142800e+01
103 1.1480469756754098e+03 1.5883744846466533e+01
