# step 20
# iter abs_residual rel_residual
0 7.2278104865846402e+01 1.0000000000000000e+00
1 1.1546600861374693e+03 1.5975240195915559e+01
2 1.1527745212176039e+03 1.5949152559509413e+01
3 1.1585072720811575e+03 1.6028467739039840e+01
4 1.2484330970662174e+03 1.7272631862490073e+01
5 1.4402468346342985e+03 1.9926460956710265e+01
6 1.2677694538270421e+03 1.7540159031287796e+01
7 1.4124522130194996e+03 1.9541909899839201e+01
8 1.3004236603879053e+03 1.7991944625576298e+01
9 1.3783981910461696e+03 1.9070757231454536e+01
10 1.3232324643113363e+03 1.8307514658378985e+01
11 1.3547601259470819e+03 1.8743713998334883e+01
12 1.3364428175034395e+03 1.8490285820083106e+01
13 1.3388396176553533e+03 1.8523446625230978e+01
14 1.3429152194676253e+03 1.8579834404349381e+01
15 1.3277325809240781e+03 1.8369775790171168e+01
16 1.3450051727494829e+03 1.8608749845418799e+01
17 1.3195692023761810e+03 1.8256831786408910e+01
18 1.3443069584354043e+03 1.8599089737210726e+01
19 1.3132163294697962e+03 1.8168936940270147e+01
20 1.3418458874598891e+03 1.8565039716390682e+01
21 1.3079856800742782e+03 1.8096568559759529e+01
22 1.3382737217512615e+03 1.8515617201574365e+01
23 1.3034526903345870e+03 1.8033852613511286e+01
24 1.3340055733958116e+03 1.8456565454667444e+01
25 1.2993510853112091e+03 1.7977105068303914e+01
26 1.3293075319973148e+03 1.8391565944688359e+01
27 1.2955114809386475e+03 1.7923982419616760e+01
28 1.3243513570126702e+03 1.8322995040763256e+01
29 1.2918249965163175e+03 1.7872978254120550e+01
30 1.3192485335202243e+03 1.8252395188955891e+01
31 1.2882212246139989e+03 1.7823118453438070e+01
32 1.3140716232937580e+03 1.8180770313952941e+01
33 1.2846546044813599e+03 1.7773772664152933e+01
34 1.3088677968927655e+03 1.8108773041602607e+01
35 1.2810958289430869e+03 1.7724535408349418e+01
36 1.3036675101297769e+03 1.8036824741731703e+01
37 1.2775263299657975e+03 1.7675149788957285e+01
38 1.2984901357302419e+03 1.7965193444686150e+01
39 1.2739346838620393e+03 1.7625457754136718e+01
40 1.2933476589212391e+03 1.7894044971458364e+01
41 1.2703142383687223e+03 1.7575367266844101e+01
42 1.2882471280015263e+03 1.7823476838423058e+01
43 1.2666615286057540e+03 1.7524830388909244e+01
44 1.2831922934636909e+03 1.7753540935327404e+01
45 1.2629752087398836e+03 1.7473828500125460e+01
46 1.2781847130489414e+03 1.7684258814219717e+01
47 1.2592553284049538e+03 1.7422362287199235e+01
48 1.2732245007417450e+03 1.7615632052126234e+01
49 1.2555028382783414e+03 1.7370444903178480e+01
50 1.2683108376859773e+03 1.7547649319805181e+01
51 1.2517192522232911e+03 1.7318097293040211e+01
52 1.2634423194692044e+03 1.7480291186580615e+01
53 1.2479064168627453e+03 1.7265345005641105e+01
54 1.2586171941787654e+03 1.7413533413955079e+01
55 1.2440663539091420e+03 1.7212216012279551e+01
56 1.2538335239661815e+03 1.7347349190925673e+01
57 1.2402011533676355e+03 1.7158739229114296e+01
58 1.2490892942248884e+03 1.7281710644506965e+01
59 1.2363129023457118e+03 1.7104943532213547e+01
60 1.2443824862357735e+03 1.7216589844814568e+01
61 1.2324036388437607e+03 1.7050857118226808e+01
62 1.2397111252413897e+03 1.7151959470193454e+01
63 1.2284753213144288e+03 1.6996507083224877e+01
64 1.2350733099348167e+03 1.7087793215209580e+01
65 1.2245298121544379e+03 1.6941919194301750e+01
66 1.2304672309104803e+03 1.7024066045925249e+01
67 1.2205688672035487e+03 1.6887117744288069e+01
68 1.2258911806677181e+03 1.6960754338302927e+01
69 1.2165941326642317e+03 1.6832125509133395e+01
70 1.2213435565443754e+03 1.6897835918792847e+01
71 1.2126071450134700e+03 1.6776963746685944e+01
72 1.2168228618978396e+03 1.6835290080673179e+01
73 1.2086093333596875e+03 1.6721652229301768e+01
74 1.2123277032838550e+03 1.6773097545017631e+01
75 1.2046020237668019e+03 1.6666209303669955e+01
76 1.2078567863335604e+03 1.6711240403652440e+01
77 1.2005864443565424e+03 1.6610651961405480e+01
78 1.2034089109101824e+03 1.6649702052147049e+01
79 1.1965637310967595e+03 1.6554995919133074e+01
80 1.1989829658859981e+03 1.6588467117551030e+01
81 1.1925349333545130e+03 1.6499255695316688e+01
82 1.1945779226431778e+03 1.6527521368475337e+01
83 1.1885010204049834e+03 1.6443444700313194e+01
84 1.1901928302487681e+03 1.6466851648336043e+01
85 1.1844628864411691e+03 1.6387575305683807e+01
86 1.1858268092570779e+03 1.6406445789607538e+01
87 1.1804213570168492e+03 1.6331658933335344e+01
88 1.1814790463301533e+03 1.6346292539394430e+01
89 1.1763771933523230e+03 1.6275706115092081e+01
