# step 12
# iter abs_residual rel_residual
0 7.2278104865846402e+01 1.0000000000000000e+00
1 1.1546600861374702e+03 1.5975240195915571e+01
2 1.1527745212176069e+03 1.5949152559509454e+01
3 1.1585072720811611e+03 1.6028467739039890e+01
4 1.2484330970662138e+03 1.7272631862490023e+01
5 1.4402468346342991e+03 1.9926460956710272e+01
6 1.2677694538270475e+03 1.7540159031287871e+01
7 1.4124522130195041e+03 1.9541909899839261e+01
8 1.3004236603879090e+03 1.7991944625576348e+01
9 1.3783981910461732e+03 1.9070757231454586e+01
10 1.3232324643113452e+03 1.8307514658379105e+01
11 1.3547601259470896e+03 1.8743713998334989e+01
12 1.3364428175034461e+03 1.8490285820083198e+01
13 1.3388396176553520e+03 1.8523446625230960e+01
14 1.3429152194676262e+03 1.8579834404349391e+01
15 1.3277325809240701e+03 1.8369775790171058e+01
16 1.3450051727494692e+03 1.8608749845418608e+01
17 1.3195692023761687e+03 1.8256831786408739e+01
18 1.3443069584353946e+03 1.8599089737210591e+01
19 1.3132163294697889e+03 1.8168936940270047e+01
20 1.3418458874598755e+03 1.8565039716390494e+01
21 1.3079856800742573e+03 1.8096568559759241e+01
22 1.3382737217512401e+03 1.8515617201574070e+01
23 1.3034526903345668e+03 1.8033852613511009e+01
24 1.3340055733957934e+03 1.8456565454667192e+01
25 1.2993510853111895e+03 1.7977105068303644e+01
26 1.3293075319972977e+03 1.8391565944688125e+01
27 1.2955114809386348e+03 1.7923982419616586e+01
28 1.3243513570126588e+03 1.8322995040763100e+01
29 1.2918249965163100e+03 1.7872978254120447e+01
30 1.3192485335202207e+03 1.8252395188955841e+01
31 1.2882212246140023e+03 1.7823118453438116e+01
32 1.3140716232937627e+03 1.8180770313953008e+01
33 1.2846546044813722e+03 1.7773772664153103e+01
34 1.3088677968927814e+03 1.8108773041602827e+01
35 1.2810958289430991e+03 1.7724535408349588e+01
36 1.3036675101297969e+03 1.8036824741731980e+01
37 1.2775263299658186e+03 1.7675149788957576e+01
38 1.2984901357302699e+03 1.7965193444686538e+01
39 1.2739346838620747e+03 1.7625457754137209e+01
40 1.2933476589212755e+03 1.7894044971458868e+01
41 1.2703142383687637e+03 1.7575367266844676e+01
42 1.2882471280015668e+03 1.7823476838423620e+01
43 1.2666615286057902e+03 1.7524830388909741e+01
44 1.2831922934637259e+03 1.7753540935327887e+01
45 1.2629752087399097e+03 1.7473828500125823e+01
46 1.2781847130489678e+03 1.7684258814220083e+01
47 1.2592553284049775e+03 1.7422362287199562e+01
48 1.2732245007417689e+03 1.7615632052126564e+01
49 1.2555028382783737e+03 1.7370444903178928e+01
50 1.2683108376860100e+03 1.7547649319805636e+01
51 1.2517192522233170e+03 1.7318097293040569e+01
52 1.2634423194692338e+03 1.7480291186581024e+01
53 1.2479064168627779e+03 1.7265345005641556e+01
54 1.2586171941787948e+03 1.7413533413955484e+01
55 1.2440663539091640e+03 1.7212216012279857e+01
56 1.2538335239662051e+03 1.7347349190926000e+01
57 1.2402011533676605e+03 1.7158739229114641e+01
58 1.2490892942249093e+03 1.7281710644507253e+01
59 1.2363129023457382e+03 1.7104943532213909e+01
60 1.2443824862358010e+03 1.7216589844814948e+01
61 1.2324036388437919e+03 1.7050857118227238e+01
62 1.2397111252414199e+03 1.7151959470193873e+01
63 1.2284753213144606e+03 1.6996507083225318e+01
64 1.2350733099348438e+03 1.7087793215209956e+01
65 1.2245298121544574e+03 1.6941919194302020e+01
66 1.2304672309104963e+03 1.7024066045925469e+01
67 1.2205688672035608e+03 1.6887117744288236e+01
68 1.2258911806677281e+03 1.6960754338303065e+01
69 1.2165941326642464e+03 1.6832125509133597e+01
70 1.2213435565443901e+03 1.6897835918793053e+01
71 1.2126071450134853e+03 1.6776963746686153e+01
72 1.2168228618978578e+03 1.6835290080673428e+01
73 1.2086093333597105e+03 1.6721652229302087e+01
74 1.2123277032838778e+03 1.6773097545017944e+01
75 1.2046020237668233e+03 1.6666209303670250e+01
76 1.2078567863335811e+03 1.6711240403652727e+01
77 1.2005864443565624e+03 1.6610651961405754e+01
78 1.2034089109101976e+03 1.6649702052147259e+01
79 1.1965637310967807e+03 1.6554995919133365e+01
80 1.1989829658860174e+03 1.6588467117551296e+01
81 1.1925349333545341e+03 1.6499255695316979e+01
82 1.1945779226431916e+03 1.6527521368475529e+01
83 1.1885010204049979e+03 1.6443444700313396e+01
84 1.1901928302487806e+03 1.6466851648336217e+01
85 1.1844628864411825e+03 1.6387575305683992e+01
86 1.1858268092570909e+03 1.6406445789607719e+01
87 1.1804213570168613e+03 1.6331658933335511e+01
88 1.1814790463301631e+03 1.6346292539394565e+01
89 1.1763771933523296e+03 1.6275706115092174e+01
90 1.1771487897181955e+03 1.6286381496901065e+01
91 1.1723310979354735e+03 1.6219726570188968e+01
92 1.1728353439170760e+03 1.6226703039515861e+01
93 1.1682837191229976e+03 1.6163729268931718e+01
94 1.1685380650382824e+03 1.6167248258752451e+01
95 1.1642356550318841e+03 1.6107722486537149e+01
96 1.1642563576319706e+03 1.6108008916295162e+01
97 1.1601874578349652e+03 1.6051713862564057e+01
98 1.1599896696503320e+03 1.6048977374314948e+01
99 1.1561396376451507e+03 1.5995710454653354e+01
100 1.1557374897054581e+03 1.5990146557530718e+01
101 1.1520926651050781e+03 1.5939718774357031e+01
102 1.1514993435988069e+03 1.5931509905192954e+01
103 1.1480469756784823e+03 1.5883744846511179e+01
104 1.1472747910266066e+03 1.5873061325501476e+01
105 1.1440029715528726e+03 1.5827794235560384e+01
106 1.1430634233289727e+03 1.5814795164463490e+01
107 1.1399610245723222e+03 1.5771872086134184e+01
108 1.1388648605586623e+03 1.5756706165338468e+01
109 1.1359214789444402e+03 1.5715983160499240e+01
110 1.1346787494226107e+03 1.5698789440158397e+01
111 1.1318846530402800e+03 1.5660131863461874e+01
112 1.1305047609336700e+03 1.5641040437238523e+01
113 1.1278508414169326e+03 1.5604322270351561e+01
114 1.1263425889435412e+03 1.5583454920879811e+01
115 1.1238203171283596e+03 1.5548558158992336e+01
116 1.1221919476106877e+03 1.5526028936336397e+01
117 1.1197933329737111e+03 1.5492843026973823e+01
118 1.1180525705923333e+03 1.5468758798636502e+01
119 1.1157701230422440e+03 1.5437180113025892e+01
120 1.1139242088676374e+03 1.5411641062465106e+01
121 1.1117509047696306e+03 1.5381572425468596e+01
122 1.1098066298866593e+03 1.5354672510389472e+01
123 1.1077358792262301e+03 1.5326022746200543e+01
124 1.1056996160753376e+03 1.5297850132174872e+01
125 1.1037252332626997e+03 1.5270533660384382e+01
126 1.1016029635330353e+03 1.5241171106764535e+01
127 1.0997191401755749e+03 1.5215107565655414e+01
128 1.0975164815433841e+03 1.5184632795511963e+01
129 1.0957177605424024e+03 1.5159746683676017e+01
130 1.0934399909868407e+03 1.5128232720217936e+01
131 1.0917212434669755e+03 1.5104453077364054e+01
132 1.0893733238513175e+03 1.5071968556359860e+01
133 1.0877297275775707e+03 1.5049228664703907e+01
134 1.0853163221768746e+03 1.5015838118491116e+01
135 1.0837433411671966e+03 1.4994075220686897e+01
136 1.0812688376700671e+03 1.4959839354905380e+01
137 1.0797622035141819e+03 1.4938994395582199e+01
138 1.0772307304170990e+03 1.4903970329832530e+01
