# step 8
# iter abs_residual rel_residual
0 7.2278104865846402e+01 1.0000000000000000e+00
1 1.1546600861374693e+03 1.5975240195915559e+01
2 1.1527745212176042e+03 1.5949152559509416e+01
3 1.1585072720811572e+03 1.6028467739039836e+01
4 1.2484330970662118e+03 1.7272631862489995e+01
5 1.4402468346342976e+03 1.9926460956710251e+01
6 1.2677694538270468e+03 1.7540159031287860e+01
7 1.4124522130195019e+03 1.9541909899839229e+01
8 1.3004236603879076e+03 1.7991944625576330e+01
9 1.3783981910461684e+03 1.9070757231454522e+01
10 1.3232324643113413e+03 1.8307514658379052e+01
11 1.3547601259470778e+03 1.8743713998334826e+01
12 1.3364428175034311e+03 1.8490285820082992e+01
13 1.3388396176553331e+03 1.8523446625230697e+01
14 1.3429152194676080e+03 1.8579834404349143e+01
15 1.3277325809240544e+03 1.8369775790170841e+01
16 1.3450051727494565e+03 1.8608749845418433e+01
17 1.3195692023761530e+03 1.8256831786408522e+01
18 1.3443069584353746e+03 1.8599089737210313e+01
19 1.3132163294697646e+03 1.8168936940269710e+01
20 1.3418458874598525e+03 1.8565039716390178e+01
21 1.3079856800742357e+03 1.8096568559758939e+01
22 1.3382737217512179e+03 1.8515617201573761e+01
23 1.3034526903345507e+03 1.8033852613510785e+01
24 1.3340055733957781e+03 1.8456565454666983e+01
25 1.2993510853111720e+03 1.7977105068303402e+01
26 1.3293075319972784e+03 1.8391565944687859e+01
27 1.2955114809386175e+03 1.7923982419616344e+01
28 1.3243513570126449e+03 1.8322995040762908e+01
29 1.2918249965162981e+03 1.7872978254120284e+01
30 1.3192485335202102e+03 1.8252395188955695e+01
31 1.2882212246139864e+03 1.7823118453437896e+01
32 1.3140716232937432e+03 1.8180770313952738e+01
33 1.2846546044813490e+03 1.7773772664152784e+01
34 1.3088677968927582e+03 1.8108773041602504e+01
35 1.2810958289430794e+03 1.7724535408349315e+01
36 1.3036675101297728e+03 1.8036824741731646e+01
37 1.2775263299657961e+03 1.7675149788957263e+01
38 1.2984901357302456e+03 1.7965193444686200e+01
39 1.2739346838620463e+03 1.7625457754136814e+01
40 1.2933476589212512e+03 1.7894044971458531e+01
41 1.2703142383687375e+03 1.7575367266844314e+01
42 1.2882471280015391e+03 1.7823476838423236e+01
43 1.2666615286057688e+03 1.7524830388909447e+01
44 1.2831922934637018e+03 1.7753540935327557e+01
45 1.2629752087398922e+03 1.7473828500125581e+01
46 1.2781847130489493e+03 1.7684258814219827e+01
47 1.2592553284049609e+03 1.7422362287199331e+01
48 1.2732245007417453e+03 1.7615632052126237e+01
49 1.2555028382783410e+03 1.7370444903178473e+01
50 1.2683108376859768e+03 1.7547649319805178e+01
51 1.2517192522232922e+03 1.7318097293040225e+01
52 1.2634423194692074e+03 1.7480291186580658e+01
53 1.2479064168627499e+03 1.7265345005641169e+01
54 1.2586171941787645e+03 1.7413533413955065e+01
55 1.2440663539091424e+03 1.7212216012279558e+01
56 1.2538335239661797e+03 1.7347349190925648e+01
57 1.2402011533676346e+03 1.7158739229114282e+01
58 1.2490892942248861e+03 1.7281710644506934e+01
59 1.2363129023457152e+03 1.7104943532213593e+01
60 1.2443824862357724e+03 1.7216589844814550e+01
61 1.2324036388437628e+03 1.7050857118226837e+01
62 1.2397111252413929e+03 1.7151959470193496e+01
63 1.2284753213144293e+03 1.6996507083224884e+01
64 1.2350733099348126e+03 1.7087793215209523e+01
65 1.2245298121544313e+03 1.6941919194301658e+01
66 1.2304672309104715e+03 1.7024066045925128e+01
67 1.2205688672035351e+03 1.6887117744287881e+01
68 1.2258911806677052e+03 1.6960754338302745e+01
69 1.2165941326642201e+03 1.6832125509133235e+01
70 1.2213435565443672e+03 1.6897835918792733e+01
71 1.2126071450134627e+03 1.6776963746685844e+01
72 1.2168228618978351e+03 1.6835290080673115e+01
73 1.2086093333596841e+03 1.6721652229301721e+01
74 1.2123277032838528e+03 1.6773097545017599e+01
75 1.2046020237667981e+03 1.6666209303669902e+01
76 1.2078567863335572e+03 1.6711240403652397e+01
77 1.2005864443565358e+03 1.6610651961405388e+01
78 1.2034089109101690e+03 1.6649702052146864e+01
79 1.1965637310967509e+03 1.6554995919132953e+01
80 1.1989829658859890e+03 1.6588467117550902e+01
81 1.1925349333545100e+03 1.6499255695316645e+01
82 1.1945779226431689e+03 1.6527521368475217e+01
83 1.1885010204049722e+03 1.6443444700313041e+01
84 1.1901928302487593e+03 1.6466851648335918e+01
85 1.1844628864411666e+03 1.6387575305683772e+01
86 1.1858268092570747e+03 1.6406445789607496e+01
87 1.1804213570168458e+03 1.6331658933335298e+01
88 1.1814790463301522e+03 1.6346292539394415e+01
89 1.1763771933523180e+03 1.6275706115092014e+01
