# step 2488
# iter abs_residual rel_residual
0 3.4060359776550797e+00 1.0000000000000000e+00
1 1.1654206485400913e+01 3.4216334066513210e+00
2 1.1239625854856321e+01 3.2999140140012133e+00
3 1.1683369422749019e+01 3.4301955409151472e+00
4 1.2335534198987984e+01 3.6216687903222060e+00
5 1.1108537167282918e+01 3.2614268434506393e+00
6 1.1385885333352393e+01 3.3428552745914097e+00
7 1.0425565942329261e+01 3.0609089307115447e+00
8 1.0444481781222574e+01 3.0664625534616885e+00
9 9.6906810922474129e+00 2.8451493630196651e+00
10 9.5646984806537780e+00 2.8081613181428260e+00
11 8.9440554751164623e+00 2.6259427480487414e+00
12 8.7365948360551826e+00 2.5650330452674726e+00
13 8.2043066609970250e+00 2.4087551378847629e+00
14 7.9507871346814749e+00 2.3343227102830770e+00
15 7.4800180846226754e+00 2.1961065983138472e+00
16 7.2009924688114424e+00 2.1141856739191107e+00
17 6.7750807259478920e+00 1.9891395071558420e+00
18 6.4829034667316519e+00 1.9033573072222429e+00
19 6.0910420686113493e+00 1.7883082000809603e+00
20 5.7933246134767229e+00 1.7008994184099009e+00
21 5.4281889175146256e+00 1.5936968819841175e+00
22 5.1296702064343407e+00 1.5060528544287177e+00
23 4.7860724762299425e+00 1.4051737878367812e+00
24 4.4896756908326285e+00 1.3181527500844521e+00
25 4.1637710307064912e+00 1.2224683056850978e+00
26 3.8712220893097440e+00 1.1365769811905881e+00
27 3.5600193345453857e+00 1.0452089637045812e+00
28 3.2722213387891217e+00 9.6071249988437168e-01
29 2.9733497914242637e+00 8.7296488085580848e-01
30 2.6916406716328547e+00 7.9025608927535240e-01
31 2.4109841541105412e+00 7.0785633796223368e-01
32 2.1756659073065787e+00 6.3876774102792599e-01
33 2.0412753565929531e+00 5.9931115525041811e-01
34 2.1193197583880807e+00 6.2222471291895987e-01
35 2.3938708219637741e+00 7.0283192475607936e-01
36 2.5154139340852062e+00 7.3851654844144321e-01
37 2.1630599474908290e+00 6.3506667624221913e-01
38 1.8778883103360842e+00 5.5134130192862363e-01
39 1.9250108107474475e+00 5.6517629977377426e-01
40 1.8519227891572621e+00 5.4371791763404598e-01
