# step 23
# iter abs_residual rel_residual
0 7.2278104865846586e+01 1.0000000000000000e+00
1 1.1546600861374980e+03 1.5975240195915914e+01
2 1.1527745212176289e+03 1.5949152559509718e+01
3 1.1585072720812016e+03 1.6028467739040408e+01
4 1.2484330970662677e+03 1.7272631862490726e+01
5 1.4402468346343885e+03 1.9926460956711459e+01
6 1.2677694538271433e+03 1.7540159031289150e+01
7 1.4124522130196044e+03 1.9541909899840601e+01
8 1.3004236603879999e+03 1.7991944625577563e+01
9 1.3783981910463044e+03 1.9070757231456355e+01
10 1.3232324643114725e+03 1.8307514658380821e+01
11 1.3547601259471476e+03 1.8743713998335746e+01
12 1.3364428175034661e+03 1.8490285820083429e+01
13 1.3388396176553454e+03 1.8523446625230822e+01
14 1.3429152194676240e+03 1.8579834404349313e+01
15 1.3277325809240356e+03 1.8369775790170532e+01
16 1.3450051727494465e+03 1.8608749845418245e+01
17 1.3195692023761569e+03 1.8256831786408529e+01
18 1.3443069584353784e+03 1.8599089737210317e+01
19 1.3132163294697464e+03 1.8168936940269411e+01
20 1.3418458874598466e+03 1.8565039716390046e+01
21 1.3079856800742541e+03 1.8096568559759149e+01
22 1.3382737217512411e+03 1.8515617201574035e+01
23 1.3034526903345684e+03 1.8033852613510984e+01
24 1.3340055733957884e+03 1.8456565454667075e+01
25 1.2993510853111857e+03 1.7977105068303544e+01
26 1.3293075319972950e+03 1.8391565944688040e+01
27 1.2955114809386357e+03 1.7923982419616550e+01
28 1.3243513570126722e+03 1.8322995040763239e+01
29 1.2918249965163211e+03 1.7872978254120554e+01
30 1.3192485335202293e+03 1.8252395188955916e+01
31 1.2882212246140346e+03 1.7823118453438518e+01
32 1.3140716232938034e+03 1.8180770313953523e+01
33 1.2846546044813961e+03 1.7773772664153388e+01
34 1.3088677968928071e+03 1.8108773041603136e+01
35 1.2810958289431328e+03 1.7724535408350008e+01
36 1.3036675101298342e+03 1.8036824741732449e+01
37 1.2775263299658563e+03 1.7675149788958052e+01
38 1.2984901357303074e+03 1.7965193444687010e+01
39 1.2739346838620907e+03 1.7625457754137383e+01
40 1.2933476589212951e+03 1.7894044971459092e+01
41 1.2703142383687687e+03 1.7575367266844697e+01
42 1.2882471280015582e+03 1.7823476838423453e+01
43 1.2666615286057900e+03 1.7524830388909695e+01
44 1.2831922934637278e+03 1.7753540935327869e+01
45 1.2629752087399077e+03 1.7473828500125748e+01
46 1.2781847130489707e+03 1.7684258814220080e+01
47 1.2592553284049777e+03 1.7422362287199519e+01
48 1.2732245007417546e+03 1.7615632052126323e+01
49 1.2555028382783537e+03 1.7370444903178608e+01
50 1.2683108376859955e+03 1.7547649319805391e+01
51 1.2517192522233192e+03 1.7318097293040555e+01
52 1.2634423194692365e+03 1.7480291186581017e+01
53 1.2479064168627876e+03 1.7265345005641649e+01
54 1.2586171941788068e+03 1.7413533413955605e+01
55 1.2440663539091940e+03 1.7212216012280226e+01
