# step 22
# iter abs_residual rel_residual
0 7.2278104865846586e+01 1.0000000000000000e+00
1 1.1546600861374977e+03 1.5975240195915910e+01
2 1.1527745212176333e+03 1.5949152559509779e+01
3 1.1585072720811950e+03 1.6028467739040316e+01
4 1.2484330970662631e+03 1.7272631862490663e+01
5 1.4402468346343851e+03 1.9926460956711413e+01
6 1.2677694538271423e+03 1.7540159031289136e+01
7 1.4124522130195967e+03 1.9541909899840494e+01
8 1.3004236603879947e+03 1.7991944625577489e+01
9 1.3783981910463083e+03 1.9070757231456408e+01
10 1.3232324643114721e+03 1.8307514658380814e+01
11 1.3547601259471512e+03 1.8743713998335796e+01
12 1.3364428175034691e+03 1.8490285820083468e+01
13 1.3388396176553529e+03 1.8523446625230925e+01
14 1.3429152194676342e+03 1.8579834404349455e+01
15 1.3277325809240426e+03 1.8369775790170628e+01
16 1.3450051727494510e+03 1.8608749845418309e+01
17 1.3195692023761558e+03 1.8256831786408512e+01
18 1.3443069584353807e+03 1.8599089737210349e+01
19 1.3132163294697539e+03 1.8168936940269514e+01
20 1.3418458874598480e+03 1.8565039716390068e+01
21 1.3079856800742502e+03 1.8096568559759096e+01
22 1.3382737217512449e+03 1.8515617201574088e+01
23 1.3034526903345825e+03 1.8033852613511179e+01
24 1.3340055733958034e+03 1.8456565454667285e+01
25 1.2993510853112016e+03 1.7977105068303764e+01
26 1.3293075319973061e+03 1.8391565944688193e+01
27 1.2955114809386448e+03 1.7923982419616678e+01
28 1.3243513570126838e+03 1.8322995040763399e+01
29 1.2918249965163275e+03 1.7872978254120643e+01
30 1.3192485335202423e+03 1.8252395188956093e+01
31 1.2882212246140450e+03 1.7823118453438660e+01
32 1.3140716232938016e+03 1.8180770313953499e+01
33 1.2846546044814004e+03 1.7773772664153448e+01
34 1.3088677968928193e+03 1.8108773041603307e+01
35 1.2810958289431449e+03 1.7724535408350174e+01
36 1.3036675101298497e+03 1.8036824741732662e+01
37 1.2775263299658654e+03 1.7675149788958180e+01
38 1.2984901357303124e+03 1.7965193444687081e+01
39 1.2739346838620979e+03 1.7625457754137486e+01
40 1.2933476589212885e+03 1.7894044971459003e+01
41 1.2703142383687580e+03 1.7575367266844552e+01
42 1.2882471280015470e+03 1.7823476838423300e+01
43 1.2666615286057693e+03 1.7524830388909407e+01
44 1.2831922934637021e+03 1.7753540935327514e+01
45 1.2629752087398840e+03 1.7473828500125421e+01
46 1.2781847130489377e+03 1.7684258814219625e+01
47 1.2592553284049393e+03 1.7422362287198990e+01
48 1.2732245007417280e+03 1.7615632052125953e+01
49 1.2555028382783282e+03 1.7370444903178253e+01
50 1.2683108376859689e+03 1.7547649319805021e+01
51 1.2517192522232897e+03 1.7318097293040147e+01
52 1.2634423194692033e+03 1.7480291186580555e+01
53 1.2479064168627524e+03 1.7265345005641159e+01
54 1.2586171941787693e+03 1.7413533413955086e+01
55 1.2440663539091520e+03 1.7212216012279647e+01
56 1.2538335239661965e+03 1.7347349190925836e+01
57 1.2402011533676582e+03 1.7158739229114566e+01
58 1.2490892942249091e+03 1.7281710644507207e+01
59 1.2363129023457341e+03 1.7104943532213809e+01
60 1.2443824862357992e+03 1.7216589844814880e+01
61 1.2324036388437928e+03 1.7050857118227206e+01
62 1.2397111252414172e+03 1.7151959470193791e+01
63 1.2284753213144577e+03 1.6996507083225232e+01
64 1.2350733099348522e+03 1.7087793215210027e+01
65 1.2245298121544836e+03 1.6941919194302340e+01
66 1.2304672309105242e+03 1.7024066045925814e+01
67 1.2205688672035910e+03 1.6887117744288613e+01
68 1.2258911806677738e+03 1.6960754338303651e+01
69 1.2165941326642858e+03 1.6832125509134098e+01
70 1.2213435565444302e+03 1.6897835918793561e+01
71 1.2126071450135203e+03 1.6776963746686597e+01
72 1.2168228618978924e+03 1.6835290080673865e+01
73 1.2086093333597323e+03 1.6721652229302347e+01
74 1.2123277032838992e+03 1.6773097545018196e+01
75 1.2046020237668490e+03 1.6666209303670563e+01
76 1.2078567863336132e+03 1.6711240403653129e+01
77 1.2005864443565945e+03 1.6610651961406155e+01
78 1.2034089109102329e+03 1.6649702052147703e+01
79 1.1965637310968120e+03 1.6554995919133759e+01
80 1.1989829658860533e+03 1.6588467117551751e+01
81 1.1925349333545687e+03 1.6499255695317416e+01
82 1.1945779226432433e+03 1.6527521368476204e+01
83 1.1885010204050523e+03 1.6443444700314107e+01
84 1.1901928302488357e+03 1.6466851648336934e+01
85 1.1844628864412375e+03 1.6387575305684713e+01
86 1.1858268092571368e+03 1.6406445789608313e+01
87 1.1804213570169070e+03 1.6331658933336101e+01
88 1.1814790463302033e+03 1.6346292539395080e+01
89 1.1763771933523685e+03 1.6275706115092671e+01
90 1.1771487897182317e+03 1.6286381496901523e+01
91 1.1723310979355142e+03 1.6219726570189490e+01
92 1.1728353439171181e+03 1.6226703039516401e+01
93 1.1682837191230419e+03 1.6163729268932290e+01
94 1.1685380650383158e+03 1.6167248258752874e+01
95 1.1642356550319178e+03 1.6107722486537572e+01
96 1.1642563576320008e+03 1.6108008916295539e+01
97 1.1601874578350037e+03 1.6051713862564547e+01
98 1.1599896696503606e+03 1.6048977374315303e+01
