# step 0
# iter abs_residual rel_residual
0 7.2278104865846586e+01 1.0000000000000000e+00
1 1.1546600861374977e+03 1.5975240195915910e+01
2 1.1527745212176321e+03 1.5949152559509763e+01
3 1.1585072720811972e+03 1.6028467739040348e+01
4 1.2484330970662659e+03 1.7272631862490702e+01
5 1.4402468346343805e+03 1.9926460956711349e+01
6 1.2677694538271373e+03 1.7540159031289068e+01
7 1.4124522130195846e+03 1.9541909899840327e+01
8 1.3004236603879822e+03 1.7991944625577318e+01
9 1.3783981910462810e+03 1.9070757231456028e+01
10 1.3232324643114457e+03 1.8307514658380452e+01
11 1.3547601259471230e+03 1.8743713998335405e+01
12 1.3364428175034316e+03 1.8490285820082949e+01
13 1.3388396176553101e+03 1.8523446625230335e+01
14 1.3429152194675908e+03 1.8579834404348855e+01
15 1.3277325809239876e+03 1.8369775790169868e+01
16 1.3450051727493931e+03 1.8608749845417506e+01
17 1.3195692023760951e+03 1.8256831786407673e+01
18 1.3443069584353211e+03 1.8599089737209525e+01
19 1.3132163294697041e+03 1.8168936940268829e+01
20 1.3418458874598005e+03 1.8565039716389407e+01
21 1.3079856800742027e+03 1.8096568559758438e+01
22 1.3382737217511949e+03 1.8515617201573399e+01
23 1.3034526903345300e+03 1.8033852613510451e+01
24 1.3340055733957499e+03 1.8456565454666542e+01
25 1.2993510853111502e+03 1.7977105068303054e+01
26 1.3293075319972502e+03 1.8391565944687422e+01
27 1.2955114809385898e+03 1.7923982419615914e+01
28 1.3243513570126304e+03 1.8322995040762660e+01
29 1.2918249965162709e+03 1.7872978254119861e+01
30 1.3192485335201836e+03 1.8252395188955283e+01
31 1.2882212246139775e+03 1.7823118453437726e+01
32 1.3140716232937341e+03 1.8180770313952564e+01
33 1.2846546044813331e+03 1.7773772664152517e+01
34 1.3088677968927459e+03 1.8108773041602291e+01
35 1.2810958289430730e+03 1.7724535408349180e+01
36 1.3036675101297812e+03 1.8036824741731717e+01
37 1.2775263299658088e+03 1.7675149788957395e+01
38 1.2984901357302642e+03 1.7965193444686413e+01
39 1.2739346838620493e+03 1.7625457754136811e+01
40 1.2933476589212496e+03 1.7894044971458463e+01
41 1.2703142383687234e+03 1.7575367266844072e+01
42 1.2882471280015122e+03 1.7823476838422817e+01
43 1.2666615286057358e+03 1.7524830388908946e+01
44 1.2831922934636675e+03 1.7753540935327035e+01
45 1.2629752087398526e+03 1.7473828500124988e+01
46 1.2781847130489157e+03 1.7684258814219319e+01
47 1.2592553284049104e+03 1.7422362287198588e+01
48 1.2732245007416946e+03 1.7615632052125491e+01
49 1.2555028382783003e+03 1.7370444903177866e+01
50 1.2683108376859420e+03 1.7547649319804652e+01
51 1.2517192522232619e+03 1.7318097293039763e+01
52 1.2634423194691863e+03 1.7480291186580320e+01
53 1.2479064168627431e+03 1.7265345005641031e+01
54 1.2586171941787593e+03 1.7413533413954948e+01
55 1.2440663539091436e+03 1.7212216012279530e+01
56 1.2538335239661887e+03 1.7347349190925730e+01
57 1.2402011533676482e+03 1.7158739229114428e+01
58 1.2490892942249009e+03 1.7281710644507093e+01
59 1.2363129023457345e+03 1.7104943532213817e+01
60 1.2443824862358063e+03 1.7216589844814976e+01
61 1.2324036388437996e+03 1.7050857118227302e+01
62 1.2397111252414238e+03 1.7151959470193880e+01
63 1.2284753213144727e+03 1.6996507083225442e+01
64 1.2350733099348602e+03 1.7087793215210137e+01
65 1.2245298121544911e+03 1.6941919194302443e+01
66 1.2304672309105274e+03 1.7024066045925856e+01
67 1.2205688672035935e+03 1.6887117744288648e+01
68 1.2258911806677620e+03 1.6960754338303488e+01
69 1.2165941326642728e+03 1.6832125509133920e+01
70 1.2213435565444174e+03 1.6897835918793387e+01
71 1.2126071450135084e+03 1.6776963746686434e+01
72 1.2168228618978842e+03 1.6835290080673751e+01
73 1.2086093333597264e+03 1.6721652229302265e+01
74 1.2123277032838880e+03 1.6773097545018043e+01
75 1.2046020237668465e+03 1.6666209303670531e+01
76 1.2078567863336048e+03 1.6711240403653012e+01
77 1.2005864443565861e+03 1.6610651961406042e+01
78 1.2034089109102217e+03 1.6649702052147550e+01
79 1.1965637310968034e+03 1.6554995919133638e+01
80 1.1989829658860444e+03 1.6588467117551627e+01
81 1.1925349333545626e+03 1.6499255695317331e+01
82 1.1945779226432214e+03 1.6527521368475902e+01
83 1.1885010204050268e+03 1.6443444700313755e+01
84 1.1901928302488122e+03 1.6466851648336611e+01
85 1.1844628864412107e+03 1.6387575305684340e+01
86 1.1858268092571079e+03 1.6406445789607911e+01
87 1.1804213570168763e+03 1.6331658933335678e+01
88 1.1814790463301742e+03 1.6346292539394678e+01
89 1.1763771933523344e+03 1.6275706115092198e+01
90 1.1771487897181935e+03 1.6286381496900994e+01
91 1.1723310979354815e+03 1.6219726570189039e+01
92 1.1728353439170965e+03 1.6226703039516103e+01
93 1.1682837191230203e+03 1.6163729268931991e+01
94 1.1685380650382940e+03 1.6167248258752572e+01
95 1.1642356550318937e+03 1.6107722486537238e+01
96 1.1642563576319767e+03 1.6108008916295205e+01
97 1.1601874578349721e+03 1.6051713862564110e+01
98 1.1599896696503311e+03 1.6048977374314894e+01
